Name,Close,Industry,List_date,Mkt_Cap,PE19_21,PB,YTDchg
 中集集团,7.05,机械设备,1994-04-08,384.4867035,5.595238095,0.782463929,1.278409091
 鲁西化工,10.17,化工,1998-08-07,205.5234825,6.591056384,1.12655774,-13.72074253
 冀中能源,6.1,采掘,1999-09-09,221.5533875,8.100929615,1.020578886,-1.41509434
 越秀金控,6.88,非银金融,2000-07-18,346.6838531,7.258404839,1.278525236,15.35893155
 招商港口,15.97,交通运输,1993-05-05,401.1014831,11.74264706,0.735439721,11.76880223
 太阳纸业,11.47,轻工制造,2006-11-16,332.0084733,11.86551724,1.388619855,3.125
 露天煤业,13.25,采掘,2007-04-18,305.0781524,7.95,1.083826849,10.2917342
 滨江集团,10.49,房地产,2008-05-29,331.9910631,10.77739726,1.386850699,20.8380521
 天山铝业,6.32,机械设备,2010-12-31,316.7933968,9.978947368,1.287326354,-11.78756477
 首创股份,2.87,公用事业,2000-04-27,209.9408934,8.765143032,1.125269555,1.060070671
 兴发集团,20.3,化工,1999-06-16,230.0055153,6.34375,1.118771666,-28.65517241
 金发科技,7.93,化工,2004-06-23,213.3729381,7.443912513,1.274796643,-17.13106295
 永泰能源,1.46,采掘,1998-05-13,324.3793565,13.04736372,0.736927115,-4.575163399
 南山铝业,3.12,有色金属,1999-12-23,373.5028359,12.48,0.809947821,-2.44648318
 广汇能源,6.58,化工,2000-05-26,448.441076,7.324675325,1.496508904,-24.27937916
 鄂尔多斯,8.7,采掘,2001-04-26,253.5691286,3.385214008,0.851563647,-40.35549704
 华发股份,10.49,房地产,2004-02-25,226.3245233,8.693370166,1.243612998,17.99116998
 华阳股份,7.57,采掘,2003-08-21,296.89725,4.523904382,0.716496455,-42.24561404
 浙江龙盛,9.22,化工,2003-08-01,302.2345298,8.407294833,0.932509381,-6.161616162
 金地集团,7.2,房地产,2001-04-12,333.1762676,3.769633508,0.498670213,-27.85923754
 深高速,9.17,交通运输,2001-12-25,203.4658714,9.525623269,1.152850067,3.897550111
 天地科技,5.26,机械设备,2002-05-15,220.5867879,13.2605042,1.068562722,2.5
 豫园股份,7.36,商业贸易,1992-09-02,292.1048255,7.572016461,0.804582623,-1.576872536
 华新水泥,13.17,建筑材料,1994-01-03,281.7039104,6.032061069,1.006042365,-8.569500675
 九州通,10.33,医药生物,2010-11-02,280.6025794,7.966580977,0.861925105,-22.92944785
 中国化学,7.78,建筑装饰,2010-01-07,483.8700706,9.56557377,0.898694698,-0.251889169
 君正集团,4.18,化工,2011-02-22,351.0215234,7.833093885,1.37202127,4.260651629
 桐昆股份,14.84,化工,2011-05-18,367.6957227,9.657266811,1.031214387,5.53633218
 郑煤机,12.64,汽车,2010-08-03,226.5234628,11.58216249,1.265075314,13.88888889
 和邦生物,2.39,化工,2012-07-31,211.0668805,8.952428518,1.103977089,-21.38157895
