Name,Close,Industry,List_date,Mkt_Cap,PE19_21,PB,YTDchg
 南  玻Ａ,5.89,建筑材料,1992-02-28,179.6354883,12.53191489,1.406970356,-12.81669151
 国药一致,32.05,医药生物,1993-08-09,178.2121377,9.751521298,0.850897757,-2.645180906
 天健集团,6.52,房地产,1999-07-21,121.0817441,7.326117083,1.158369754,18.68131868
 山东路桥,6.65,建筑装饰,1997-06-09,104.430084,4.984882936,0.810185185,-2.620087336
 柳    工,7.21,机械设备,1993-11-18,143.2185039,12.5755814,0.893399254,24.82993197
 靖远煤电,3.18,采掘,1994-01-06,148.9369235,8.738664468,1.166073851,2.866242038
 北部湾港,7.8,交通运输,1995-11-02,139.811379,12.78688525,1.084659028,6.765899865
 兴蓉环境,5.25,公用事业,1996-05-29,157.3393451,10.69754805,1.060884677,7.770961145
 宝新能源,5.75,公用事业,1997-01-28,125.7663184,13.26923077,1.108369636,-11.07692308
 新兴铸管,4.01,钢铁,1997-06-06,161.5973804,8.737017939,0.649350649,10.95890411
 中国重汽,15.44,汽车,1999-11-25,188.6840192,11.93814433,1.320233606,8.221024259
 传化智联,5.15,交通运输,2004-06-29,146.5785693,10.72916667,0.83270005,-2.059925094
 达安基因,9.39,医药生物,2004-08-09,131.6432378,3.053095906,1.166111967,-39.71722365
 宁波华翔,14.74,汽车,2005-06-03,120.9745925,9.571428571,1.082232012,6.90647482
 利尔化学,12.86,化工,2008-07-08,104.0568396,7.165942271,1.415972077,-27.6169265
 齐翔腾达,6.13,化工,2010-05-18,179.382825,12.01960784,1.303561935,-10.36931818
 云图控股,8.48,化工,2011-01-18,103.381154,7.97492163,1.333522039,-23.02158273
 双星新材,9.5,轻工制造,2011-06-02,110.5401849,11.68032787,1.130091359,-25.01960784
 皖维高新,5.03,化工,1997-05-28,109.4739433,9.993377483,1.401934279,-13.33333333
 南京高科,6.34,房地产,1997-05-06,110.5687033,3.864282812,0.662327758,-3.328290469
 浙江医药,10.86,医药生物,1999-10-21,105.4717675,13.575,1.131898484,-6.501283148
 陕西建工,4.75,建筑装饰,2000-06-22,179.3987968,4.996493689,0.953049759,13.33333333
 瀚蓝环境,17.96,公用事业,2000-12-25,144.4795143,12.79809976,1.345530008,-4.008667389
 中文传媒,12.67,传媒,2002-03-04,169.2474585,8.922535211,0.981873697,30.51201672
 盘江股份,6.33,采掘,2001-05-31,138.0279807,8.129280822,1.179847533,-4.31547619
 中化国际,5.03,化工,2000-03-01,183.5316171,11.01459854,1.036087995,-22.69288956
 华谊集团,6.29,化工,1992-12-04,136.1996293,8.616438356,0.615935997,1.107594937
 外高桥,11.74,房地产,1993-05-04,134.6524061,13.7578125,1.111321469,-0.753138075
 辽宁成大,12.78,医药生物,1996-08-19,196.5677114,9.537313433,0.68097169,2.065131056
 新钢股份,4.11,钢铁,1996-12-25,135.2018423,4.79766537,0.498356998,3.667481663
 隧道股份,5.85,建筑装饰,1994-01-28,186.4448984,7.405063291,0.674157303,12.52371917
 明泰铝业,14,有色金属,2011-09-19,157.0497569,7.52688172,1.126833116,-19.0738699
