"","Code","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1","002129.SZ"," 中环股份",14.18,"电气设备","2007-04-20",573,11.15335204,1.218977537,-9.335038363
"2","000983.SZ"," 山西焦煤",10.74,"采掘","2000-07-26",609.72065374,8.992213446,1.331647076,8.704453441
"3","601607.SH"," 上海医药",16.77,"医药生物","1994-03-24",621.04358676,10.10240964,0.924619015,0.239091452
"4","000425.SZ"," 徐工机械",5.52,"机械设备","1996-08-28",652.25236833,10.92564492,1.224788657,1.098901099
"5","600039.SH"," 四川路桥",7.59,"建筑装饰","2003-03-25",661.51238272,6.055851064,1.130726257,1.335113485
"6","601699.SH"," 潞安环能",23.19,"采掘","2006-09-22",693.70779348,9.117955439,1.423415461,5.842081241
"7","601018.SH"," 宁波港",3.6,"交通运输","2010-09-28",700.35798236,14.21052632,0.972972973,1.123595506
"8","600089.SH"," 特变电工",13.92,"电气设备","1997-06-18",703.3372352,6.336585588,0.996114296,0.869565217
"9","000100.SZ"," TCL科技",4.23,"电子","2004-01-30",794,11.78820251,1.424962102,-1.627906977
"10","601336.SH"," 新华保险",30.88,"非银金融","2011-12-16",963,7.399361022,0.936325045,-0.803083842
"11","600048.SH"," 保利地产",9.17,"房地产","2006-07-31",1100,4.408653846,0.586174715,-7.373737374
"12","600018.SH"," 上港集团",5.1,"交通运输","2006-10-26",1190,8.821494465,1.057170101,4.081632653
"13","600585.SH"," 海螺水泥",22.49,"建筑材料","2002-02-07",1190,4.251417769,0.649062049,-0.310283688
"14","002142.SZ"," 宁波银行",19.5,"银行","2007-07-19",1290,6.543624161,0.842696629,-3.033316758
"15","600019.SH"," 宝钢股份",6.18,"钢铁","2000-12-12",1370,8.427272727,0.707093822,4.215851602
"16","600188.SH"," 兖州煤业",21.9,"采掘","1998-07-01",1630,5.945862784,1.329989129,10.55022716
"17","601601.SH"," 中国太保",24.23,"非银金融","2007-12-25",2330,9.109022556,1.020210526,1.89234651
"18","601318.SH"," 中国平安",38.97,"非银金融","2007-03-01",7100,6.322877231,0.829678518,-3.300248139
"19","600036.SH"," 招商银行",28.29,"银行","2002-04-09",7130,6.213030747,0.864873127,1.689432063
