No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Category
1,BBD,Banco Bradesco S.A. ADR,Financial,Banks - Regional,Brazil,16.09B,10.37,3.03,0.0306,23599839,LargeCap
2,BBVA,Banco Bilbao Vizcaya Argentaria. ADR,Financial,Banks - Diversified,Spain,49.22B,6.19,8.26,0.016,1006452,LargeCap
3,BCH,Banco de Chile ADR,Financial,Banks - Regional,Chile,10.86B,7.3,21.51,0.0223,132139,LargeCap
4,BMO,Bank of Montreal,Financial,Banks - Diversified,USA,57.12B,10.61,80.09,0.0193,655509,LargeCap
5,BNS,Bank Of Nova Scotia,Financial,Banks - Diversified,Canada,51.88B,9.16,43.3,0.01,1705691,LargeCap
6,BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom,69.35B,6.7,31.09,0.0124,2619330,LargeCap
7,CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada,34.79B,10.42,37.91,0.0142,1363738,LargeCap
8,CNA,CNA Financial Corp.,Financial,Insurance - Property & Casualty,USA,10.85B,10.04,40.04,-0.0094,151346,LargeCap
9,E,Eni Spa ADR,Energy,Oil & Gas Integrated,Italy,51.66B,9.89,32.8,-0.0168,217264,LargeCap
10,EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated,Colombia,25.41B,4.45,12.36,-0.008,1722439,LargeCap
11,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,42.96B,12.88,13.66,0.0015,16694569,LargeCap
12,F,Ford Motor Co.,Consumer Cyclical,Auto Manufacturers,USA,42.27B,6.92,10.56,0.0414,60661442,LargeCap
13,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,18.02B,7.54,26.46,0.0563,9012030,LargeCap
14,HBAN,"Huntington Bancshares, Inc.",Financial,Banks - Regional,USA,15.38B,7.02,10.62,0.0271,21298970,LargeCap
15,HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified,United Kingdom,145.82B,5.45,37.44,0.0113,2245129,LargeCap
16,KB,KB Financial Group Inc ADR,Financial,Banks - Regional,South Korea,15.60B,4.72,40.59,0.0451,161575,LargeCap
17,KEY,Keycorp,Financial,Banks - Regional,USA,10.66B,9.24,11.39,0.0364,18199592,LargeCap
18,MFC,Manulife Financial Corp.,Financial,Insurance - Life,Canada,34.11B,8.73,18.65,0.0175,1773007,LargeCap
19,NGG,National Grid Plc ADR,Utilities,Utilities - Regulated Electric,United Kingdom,45.82B,4.89,62.12,0.0055,401843,LargeCap
20,NWG,NatWest Group Plc ADR,Financial,Banks - Regional,United Kingdom,20.84B,4.08,4.69,0.0399,2126923,LargeCap
21,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream,USA,11.09B,9.76,15.82,-0.0038,6247161,LargeCap
