No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Caterory,Date
1,BBD,Banco Bradesco S.A. ADR,Financial,Banks - Regional,Brazil,17.69B,13.14,3.33,0,7001829,LargeCap,11/30/2023
2,BBVA,Banco Bilbao Vizcaya Argentaria. ADR,Financial,Banks - Diversified,Spain,55.35B,6.92,9.29,-0.0169,2202712,LargeCap,11/30/2023
3,BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,12.27B,14.4,24.8,0.0085,3461759,LargeCap,11/30/2023
4,BMO,Bank of Montreal,Financial,Banks - Diversified,Canada,58.69B,10.9,82.29,0.0158,729641,LargeCap,11/30/2023
5,BNS,Bank Of Nova Scotia,Financial,Banks - Diversified,Canada,53.64B,10.42,44.77,0.0189,2122785,LargeCap,11/30/2023
6,BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom,71.13B,6.88,31.89,0.0003,2526385,LargeCap,11/30/2023
7,CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada,37.90B,11.35,41.3,0.052,2489917,LargeCap,11/30/2023
8,CNA,CNA Financial Corp.,Financial,Insurance - Property & Casualty,USA,11.41B,10.56,42.13,0.0176,144969,LargeCap,11/30/2023
9,E,Eni Spa ADR,Energy,Oil & Gas Integrated,Italy,52.19B,9.99,33.14,0.0033,223847,LargeCap,11/30/2023
10,EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated,Colombia,25.92B,5.41,12.61,-0.0079,2258443,LargeCap,11/30/2023
11,EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated,Norway,94.49B,5.75,31.87,-0.0069,3601302,LargeCap,11/30/2023
12,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,46.71B,13.1,13.89,0.0154,16884194,LargeCap,11/30/2023
13,F,Ford Motor Co.,Consumer Cyclical,Auto Manufacturers,USA,41.07B,6.73,10.26,-0.0312,80352524,LargeCap,11/30/2023
14,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,27.64B,8.76,154.41,0.004,2402984,LargeCap,11/30/2023
15,HBAN,"Huntington Bancshares, Inc.",Financial,Banks - Regional,USA,16.31B,7.45,11.26,0.0117,20165911,LargeCap,11/30/2023
16,HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified,United Kingdom,149.67B,5.59,38.43,0.0105,1563386,LargeCap,11/30/2023
17,KB,KB Financial Group Inc ADR,Financial,Banks - Regional,South Korea,15.40B,4.55,40.28,0.002,163464,LargeCap,11/30/2023
18,KEY,Keycorp,Financial,Banks - Regional,USA,11.60B,10.05,12.39,-0.004,21421732,LargeCap,11/30/2023
19,MFC,Manulife Financial Corp.,Financial,Insurance - Life,Canada,35.83B,9.77,19.59,0.015,5766643,LargeCap,11/30/2023
20,NGG,National Grid Plc ADR,Utilities,Utilities - Regulated Electric,United Kingdom,48.69B,5.27,66.01,0.0015,401132,LargeCap,11/30/2023
21,NWG,NatWest Group Plc ADR,Financial,Banks - Regional,United Kingdom,23.77B,4.66,5.35,0.0094,3071677,LargeCap,11/30/2023
22,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream,USA,11.13B,11.82,15.88,0.0186,6303186,LargeCap,11/30/2023
23,PBR,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,56.82B,3.71,15.27,0.0033,22204526,LargeCap,11/30/2023
24,PBR-A,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,40.55B,3.53,14.55,0.0146,12290044,LargeCap,11/30/2023
25,RF,Regions Financial Corp.,Financial,Banks - Regional,USA,15.51B,6.91,16.68,0.0128,10423485,LargeCap,11/30/2023
26,SAN,Banco Santander S.A. ADR,Financial,Banks - Diversified,Spain,65.52B,6.53,4.11,-0.0048,2305510,LargeCap,11/30/2023
27,SHG,Shinhan Financial Group Co. Ltd. ADR,Financial,Banks - Regional,South Korea,14.64B,4.86,28.4,0.0053,65676,LargeCap,11/30/2023
28,STLA,Stellantis N.V,Consumer Cyclical,Auto Manufacturers,Netherlands,67.14B,3.29,21.66,0.0042,7426002,LargeCap,11/30/2023
29,TEF,Telefonica S.A ADR,Communication Services,Telecom Services,Spain,24.32B,13.23,4.27,0.0095,722427,LargeCap,11/30/2023
30,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,42.86B,8.08,32.14,0.0003,12298833,LargeCap,11/30/2023
31,UMC,United Micro Electronics ADR,Technology,Semiconductors,Taiwan,19.48B,9.15,7.79,-0.0114,9179840,LargeCap,11/30/2023
