No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
1,A,36.53B,36.53,31.76,23.3,2.12,5.67,7.31,0.67%,11.50%,23.70%,14.70%,2.2,1.6,0.53,0,54.00%,21.60%,18.70%,May 24/a,125.13,2.23%,"2,583,888"
2,AAL,9.87B,9.87,,7.35,-,0.28,,,-3.50%,30.30%,-1.60%,0.8,0.7,-,-,57.90%,-4.20%,-6.80%,Apr 21/b,16.26,-2.93%,"33,865,621"
3,AAP,10.99B,10.99,19.09,11.62,1.25,1,3.63,3.30%,5.20%,18.80%,15.60%,1.2,0.3,0.33,0,44.80%,7.60%,5.60%,May 23/a,181.89,-7.23%,"1,914,604"
4,AAPL,2158.04B,2158.04,22.37,20.98,2.26,5.59,33.23,0.67%,28.90%,152.90%,50.00%,0.9,0.9,1.53,1.78,43.30%,30.90%,26.40%,Apr 28/a,137.59,0.17%,"135,982,406"
5,ABBV,268.22B,268.22,21.66,12.57,10.15,4.73,16.43,3.73%,8.50%,85.80%,17.90%,0.8,0.7,3.9,4.51,69.80%,32.70%,21.90%,Apr 29/b,151.01,-0.47%,"6,718,565"
6,ABC,31.19B,31.19,18.35,12.92,1.72,0.14,57.1,1.23%,3.00%,655.90%,24.30%,0.9,0.6,8.44,11.73,3.50%,1.10%,0.80%,May 04/b,150.18,0.54%,"2,238,221"
7,ABMD,9.89B,9.89,79.51,41.71,20.81,9.59,7.49,,9.80%,10.90%,12.50%,7,6.3,0,0,81.80%,14.10%,14.50%,Apr 28/b,235.75,-1.22%,"512,195"
8,ABT,194.83B,194.83,26.14,22.95,2.27,4.38,5.64,1.66%,10.40%,22.20%,13.50%,1.9,1.4,0.48,0.48,57.10%,20.70%,17.40%,Apr 20/b,113.24,0.71%,"4,461,898"
9,ACN,179.71B,179.71,27.88,22.83,2.2,3.17,8.53,1.40%,14.80%,32.00%,29.90%,1.2,1.2,0,0,32.30%,15.10%,11.30%,Mar 17/b,276.65,1.11%,"2,980,041"
10,ADBE,180.68B,180.68,39.64,24.78,2.78,11.19,13.71,,18.40%,34.00%,26.00%,1,1,0.26,0.3,88.00%,36.70%,29.90%,Mar 22/a,399.09,1.19%,"3,420,794"
11,ADI,81.87B,81.87,51.19,17.71,3.48,9.7,2.28,1.87%,3.50%,5.10%,3.40%,2.1,1.6,0.17,0.17,57.80%,16.30%,15.20%,May 18/b,162.44,0.93%,"3,966,192"
12,ADM,46.74B,46.74,15.51,14.15,2.11,0.52,2,1.90%,5.50%,13.70%,6.60%,1.4,0.8,0.37,0.55,7.00%,3.40%,3.40%,Apr 26/b,84,0.17%,"4,818,949"
13,ADP,86.61B,86.61,30.81,26.99,2.12,5.38,20.8,1.99%,4.80%,56.50%,29.40%,1,1,0.71,0.71,42.50%,22.70%,17.80%,Apr 27/b,208.64,0.87%,"2,640,221"
14,ADSK,39.10B,39.1,85.53,23.58,3.2,8.91,49.46,,6.20%,43.40%,15.80%,0.7,0.7,2.68,3.09,90.50%,14.10%,11.30%,May 26/a,191.41,-1.19%,"2,234,742"
15,AEE,23.79B,23.79,23.73,21.22,3.68,3.55,2.44,2.55%,2.90%,10.50%,5.00%,0.6,0.5,1.28,1.44,82.70%,20.10%,15.00%,May 06/b,92.64,0.17%,"2,039,827"
16,AEP,50.60B,50.6,19.13,18.87,3.08,2.96,2.12,3.13%,3.00%,11.70%,5.60%,0.6,0.5,1.29,1.56,68.40%,21.00%,15.40%,Apr 28/b,99.7,0.67%,"2,914,402"
17,AES,13.18B,13.18,,11.64,-,1.16,6.62,3.08%,-0.40%,-6.60%,-1.50%,1.1,0.9,8.16,9.18,22.70%,-1.30%,-1.30%,May 06/b,20.53,-0.68%,"5,687,471"
18,AFL,35.38B,35.38,9.04,10.22,2.32,1.64,1.21,2.90%,2.60%,12.50%,11.10%,-,-,0.26,0.26,-,24.30%,18.90%,Apr 27/a,55.09,-0.92%,"4,398,074"
19,AIG,43.95B,43.95,4.8,8.54,0.16,0.82,0.82,2.30%,1.60%,15.50%,11.70%,-,-,0.54,0.54,-,27.00%,18.20%,May 03/a,55.62,-3.94%,"8,945,498"
20,AIZ,9.41B,9.41,16.99,12.14,0.99,0.92,1.96,1.54%,3.70%,24.50%,9.50%,-,-,0.44,0.44,-,8.50%,13.20%,May 03/a,176.17,-2.37%,"604,654"
