Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000001.SZ, 平安银行,18.39,广东,银行,1991/4/3,1.4,1.45,1.39,1.3,1.32,1.56,1.73,1.86,2.62,2.47,1.91,1.62,0.2,1.22,0.67,1,1.41,2.07,15.16,是,1,13.01,15.0044,-0.32,0,0,1.21,349500586745.98,1,1,0,1,1,1,1,1
000002.SZ, 万  科Ａ,20.9,广东,房地产,1991/1/29,3.62,3.47,3.06,2.54,1.9,1.64,1.43,1.37,1.14,0.88,0.66,0.48,0.37,0.73,0,1,3.38,1.31,19.32,是,1,6.18,30.3836,1.58,1.1745,0.1996,1.08,325296501628.00,1,1,0,1,1,1,1,1
000003.SZ, PT金田A,0,广东,-,1991/7/3,0,0,0,0,0,0,-0.039,-0.04,0,0,-0.051,-0.056,0,0,0,0,0,-0.03,0,-,0,10000,0,-1,0,0,#DIV/0!,903605018.06,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000004.SZ, 国华网安,19.96,广东,医药生物,1991/1/14,0.3915,0.0369,-0.2414,0.102,0.468,0.0149,0.05,-0.0123,0.0239,0.0356,0.1384,0.0294,-0.1324,-0.1104,0,0,0.06,0.02,8.8263,-,0,320.21,0,2.04,5.1956,-2.6317,2.26,2588025160.00,0,0,1,1,0,1,0,0
000005.SZ, ST星源,2.17,广东,公用事业,1990/12/10,-0.366,0.0629,0.1406,0.0145,0.1026,-0.0596,0.0472,-0.0463,0.0241,0.0125,0.005,-0.054,0.01,0.08,0,0,-0.05,0.01,1.1714,-,0,10000,0,-7.5,1.2148,5.0721,1.85,2117073684.00,0,0,0,1,0,1,0,0
000006.SZ, 深振业Ａ,4.55,广东,房地产,1992/4/27,0.6405,0.5935,0.6476,0.5968,0.5767,0.3087,0.3763,0.5156,0.48,0.4388,0.633,0.64,0.2962,1.02,0,1,0.63,0.46,5.4552,是,1,7.25,30.1623,0.37,2.8321,1.9984,0.83,7289973248.40,0,1,1,1,1,1,1,1
000007.SZ, *ST全新,4.2,广东,商业贸易,1992/4/13,-0.3548,0.0643,-0.57,0.0475,0.3378,0.0606,-0.1307,0.1007,0.0378,0.0269,0.064,0.1413,-0.331,0.0625,0,0,-0.29,0,0.1861,-,0,10000,0,-111.32,1.2598,-1.2349,22.57,1167529908.28,0,0,0,1,0,1,0,0
000008.SZ, 神州高铁,2.27,北京,机械设备,1992/5/7,-0.33,0.161,0.116,0.311,0.192,0.078,0.03,0.07,0.26,-0.0073,0.0121,0.0043,0.01,0.02,0,1,-0.02,0.12,2.3535,-,0,10000,6.2535,-1.15,1.3472,0.7948,0.96,6312405435.42,0,0,0,1,1,1,1,0
000009.SZ, 中国宝安,27.47,广东,综合,1991/6/25,0.26,0.12,0.1,0.06,0.11,0.5,0.2,0.23,0.15,0.25,0.3,0.23,0.19,0.24,0,1,0.16,0.19,2.6837,是,1,171.69,17.1299,-0.17,1.832,0.8177,10.24,26204813884.40,0,0,0,1,0,1,0,0
000010.SZ, 美丽生态,3.72,广东,建筑装饰,1995/10/27,0.0486,0.0567,-0.8922,-1.2947,0.0486,0.0542,-0.1268,0.0053,0.01,0.03,-0.01,0.05,0.11,-0.2,0,0,-0.26,-0.04,0.5995,-,0,10000,0,6.06,1.0472,-6.7098,6.21,3336808681.91,0,0,0,1,0,1,0,0
000011.SZ, 深物业A,11.92,广东,房地产,1992/3/30,1.3399,1.3722,0.9945,1.0453,0.5954,0.2631,0.7005,0.5048,0.6299,0.43,0.2936,0.1626,0.0181,-0.0505,0,1,1.24,0.61,6.2551,是,1,9.65,26.2351,1.02,2.2413,28.4008,1.91,7235186176.88,0,1,1,1,0,1,0,1
000012.SZ, 南  玻Ａ,11.53,广东,建筑材料,1992/2/28,0.25,0.17,0.16,0.35,0.38,0.3,0.42,0.74,0.13,0.57,0.7,0.68,0.35,0.41,0,1,0.19,0.43,3.326,是,1,59.64,40.0701,-0.55,1.2149,3.3333,3.47,27329159752.30,0,0,0,1,0,1,0,0
000013.SZ, *ST石化A,0,广东,-,1992/5/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,749286798.13,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000014.SZ, 沙河股份,6.93,广东,房地产,1992/6/2,0.02,0.1,0.7238,0.0378,0.1418,0.2626,0.3013,0.1426,0.1386,0.2692,0.35,0.3977,0.216,0.014,0,1,0.28,0.19,4.4335,是,1,24.64,10.5228,0.45,1.69,2.513,1.56,1557164043.64,0,0,0,1,0,1,0,0
