Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231,
000001.SZ, 平安银行,14.18,广东,银行,1991-04-03,1.73,1.4,1.45,1.39,1.3,1.32,1.56,1.73,1.86,2.62,2.47,1.91,1.62,0.2,1.22,0.67,1,1.526666667,1.716666667,16.77,是,1,9.288209607,0,-0.110679612,0,0,8.46E-01,2.97493E+11,1,1,0,1,1,1,1,1,19.34
000002.SZ, 万  科Ａ,18.14,广东,房地产,1991-01-29,1.94,3.62,3.47,3.06,2.54,1.9,1.64,1.43,1.37,1.14,0.88,0.66,0.48,0.37,0.73,0,1,3.01,1.48,20.3,是,1,6.026578073,0,1.033783784,1.220231513,0.235737067,8.94E-01,3.25297E+11,1,1,0,1,1,1,1,1,28.7
000003.SZ, PT金田A,0,广东,-,1991-07-03,0,0,0,0,0,0,0,-0.039,-0.04,0,0,-0.051,-0.056,0,0,0,0,0,-0.026333333,0,-,0,10000,0,-1,0,0,#DIV/0!,903605018.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000004.SZ, 国华网安,9.42,广东,医药生物,1991-01-14,-3.1566,0.3915,0.0369,-0.2414,0.102,0.468,0.0149,0.05,-0.0123,0.0239,0.0356,0.1384,0.0294,-0.1324,-0.1104,0,0,-0.9094,0.017533333,6.0748,-,0,10000,0,-52.86692015,3.934656528,-3.057730919,1.550668335,2588025160,0,0,1,1,0,1,0,0,20.7
000005.SZ, ST星源,1.86,广东,公用事业,1990-12-10,0.1313,-0.366,0.0629,0.1406,0.0145,0.1026,-0.0596,0.0472,-0.0463,0.0241,0.0125,0.005,-0.054,0.01,0.08,0,0,-0.057266667,-0.019566667,1.2982,-,0,10000,0,1.926746167,1.471567083,17.0261854,1.432753043,2117073684,0,0,0,1,1,1,1,0,2.53
000006.SZ, 深振业Ａ,4.38,广东,房地产,1992-04-27,0.4013,0.6405,0.5935,0.6476,0.5968,0.5767,0.3087,0.3763,0.5156,0.48,0.4388,0.633,0.64,0.2962,1.02,0,1,0.5451,0.4002,5.6634,是,1,8.035222895,0,0.362068966,2.117493464,0.969263264,0.773387011,7289973248,0,1,1,1,1,1,1,1,5.61
000007.SZ, *ST全新,7.16,广东,商业贸易,1992-04-13,0.1154,-0.3548,0.0643,-0.57,0.0475,0.3378,0.0606,-0.1307,0.1007,0.0378,0.0269,0.064,0.1413,-0.331,0.0625,0,0,-0.058366667,0.0102,0.2924,-,0,10000,0,-6.722222222,1.49798916,-3.467975096,24.4870041,1167529908,0,0,0,1,0,1,0,0,6.97
000008.SZ, 神州高铁,2.44,北京,机械设备,1992-05-07,-0.55,-0.33,0.161,0.116,0.311,0.192,0.078,0.03,0.07,0.26,-0.0073,0.0121,0.0043,0.01,0.02,0,0,-0.239666667,0.059333333,1.8709,-,0,10000,0,-5.039325843,1.103127915,0.43732089,1.304185152,6312405435,0,0,0,1,1,1,1,0,2.54
000009.SZ, 中国宝安,12.08,广东,综合,1991-06-25,0.4,0.26,0.12,0.1,0.06,0.11,0.5,0.2,0.23,0.15,0.25,0.3,0.23,0.19,0.24,0,1,0.26,0.31,3.1018,是,1,46.46153846,0,-0.161290323,1.547885934,0.829118382,3.894512863,26204813884,0,0,0,1,0,1,0,0,7.53
000010.SZ, 美丽生态,3.61,广东,建筑装饰,1995-10-27,0.0286,0.0486,0.0567,-0.8922,-1.2947,0.0486,0.0542,-0.1268,0.0053,0.01,0.03,-0.01,0.05,0.11,-0.2,0,0,0.044633333,-0.022433333,0.6308,-,0,80.88125467,0,-2.989598811,1.032569089,0.945181157,5.722891566,3336808682,0,0,0,1,0,1,0,0,3.91
000011.SZ, 深物业A,12.72,广东,房地产,1992-03-30,1.6846,1.3399,1.3722,0.9945,1.0453,0.5954,0.2631,0.7005,0.5048,0.6299,0.43,0.2936,0.1626,0.0181,-0.0505,0,1,1.465566667,0.489466667,7.5273,是,1,8.6792367,0,1.994211387,1.978428178,1.125153865,1.68984895,7235186177,0,1,0,1,0,1,0,1,12.17
000012.SZ, 南  玻Ａ,6.07,广东,建筑材料,1992-02-28,0.5,0.25,0.17,0.16,0.35,0.38,0.3,0.42,0.74,0.13,0.57,0.7,0.68,0.35,0.41,0,1,0.306666667,0.486666667,3.7222,是,1,19.79347826,0,-0.369863014,1.663992319,4.424810312,1.630756005,27329159752,0,0,0,1,0,1,0,0,7.38
000013.SZ, *ST石化A,0,广东,-,1992-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,749286798.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000014.SZ, 沙河股份,9.1,广东,房地产,1992-06-02,0.18,0.02,0.1,0.7238,0.0378,0.1418,0.2626,0.3013,0.1426,0.1386,0.2692,0.35,0.3977,0.216,0.014,0,1,0.1,0.2355,4.6011,是,1,91,28.47051593,-0.57537155,1.578593893,1.888390133,1.97778792,1557164044,0,0,0,1,0,1,0,0,8.28
000015.SZ, PT中浩A,0,广东,-,1992-06-25,0,0,0,0,0,0,0,0,-0.3533,-0.3528,-0.3525,-0.352,-0.3526,-0.36,-0.35,0,0,0,-0.117766667,0,-,0,10000,0,-1,0,0,#DIV/0!,1076911927,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
